Name,Affiliation,Citedby,cites_per_year,email,hindex,hindex5y,i10index,i10index5y,id,interests,Publications
crystal pugsley,,,,,,,,,,,
curt nettinga,,,,,,,,,,,
roger larsen,,,,,,,,,,,
katy heinecke,,,,,,,,,,,
dan crisler,,,,,,,,,,,
j t fey,,,,,,,,,,,
roger whittle,,,,,,,,,,,
ronald w. erdrich,,,,,,,,,,,
lilly rockwell,,,,,,,,,,,
omar gallaga,,,,,,,,,,,
