Name,Affiliation,Citedby,cites_per_year,email,hindex,hindex5y,i10index,i10index5y,id,interests,Publications
katie shepherd,Shepard Broad College of Law Nova Southeastern University,517,"{1998: 3, 1999: 10, 2000: 15, 2001: 8, 2002: 11, 2003: 14, 2004: 14, 2005: 36, 2006: 49, 2007: 30, 2008: 30, 2009: 30, 2010: 25, 2011: 29, 2012: 28, 2013: 26, 2014: 23, 2015: 21, 2016: 32, 2017: 15, 2018: 32, 2019: 3}",@nsu.law.nova.edu,13,5,17,1,0uyUcMMAAAAJ,"['bioethics', 'health law', 'torts', 'civil litigation']","['|Title|The right to die: The law of end-of-life decisionmaking|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small"">The Right to Die, Third Edition analyzes the statutory and case law surrounding the profound issues of end-of-life decisionmaking. Whether the situation calls for long-term planning or quick, unexpected decisionmaking, this cogent, one source treatise guides you through all the available channels for helping your clients reach the ultimate resolution. This comprehensive edition guides general practitioners, elder law, health law, and health care professionals through complex issues pertaining to passive and active hastening of death and such subsequent statutes as The Oregon Death with Dignity Act. Also covered in the Third Edition are such issues as: Civil and Criminal liability for such efforts Do-not-resuscitate orders Advance directives Health care powers of attorney Palliative medical care Decisionmaking for children and newborns Surrogate decisionmaking statutes Resolution in a clinical versus a court setting And much more</div></div>|Author|Alan Meisel and Kathy L Cerminara and Thaddeus M Pope|Year|1970|Publisher|Aspen Publishers Online|Citedby|122|Eprint|', '|Title|Remembering Arthur: Some suggestions for law school academic support programs|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">His name was Arthur. 1 He came from Haiti. After five months of intense work as Arthur\'s teaching assistant in a law school academic support program, 21 was convinced that he did not belong in law school. We spent weeks working on punctuation, sentence construction and spelling. He was a poor reader, and his difficulties with English, his second language, magnified the trouble he had synthesizing cases and expressing himself, both orally and in writing. Despite my pessimism, the director of the program kept encouraging me. When I appeared in his office seeking advice about Arthur, he would give me a pep talk and send me back out for another try."" Why?"" I wondered."" Surely this is hopeless."" Because of the additional assistance, and because Arthur worked hard, however, he received passing grades in each of his courses during his first year of law school. Oddly, that made me feel worse. It made</div></div></div>|Author|Kathy L Cerminara|Year|1970|Publisher||Citedby|47|Eprint|', '|Title|The class action suit as a method of patient empowerment in the managed care setting|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">The American health care system has undergone tremendous transformation over the past few decades. The fee-for-service (FFS) health care system in which physicians enjoyed a great deal of autonomy has become a managed care system in which cost and utilization considerations play a larger role in physician decision making. Although physicians and other health care professionals are still patient advocates, this role often results in a conflict between their own economic interests and their duties to their patients.</div><div class=""gsh_csp"">Rather than depending on self-sacrificing health care professionals to advocate for them, patients need to assert their own power in the managed care arena.\'One way to gain such power is to use the class action device in litigation aimed at improving medical care quality, cost and access. Class actions, in fact, are likely to proliferate as managed care organizations (MCOs) grow and affect more patients\'</div></div></div>|Author|Kathy L Cerminara|Year|1970|Publisher||Citedby|39|Eprint|', '|Title|Critical essay: Musings on the need to convince some people with disabilities that end-of-life decision-making advocates are not out to get them|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">South Florida columnist Ralph de la Cruz wrote that passage shortly after a visit to the protest scene outside the hospice in which Theresa Marie Schiavo was a patient. 2 At that time, Ms. Schiavo was two days from death. 3 Now that she has died, it seems an appropriate time to reflect upon the situation de la Cruz described. As noted legal scholar John Robertson has recognized, 4 the importance of Schiavo is not legal. In fact, the various Schiavo opinions broke no new legal ground other than the constitutional questions raised after both legislatures and courts attempted to direct the Schiavo family\'s end-of-life decision making.</div></div></div>|Author|Kathy L Cerminara|Year|1970|Publisher||Citedby|37|Eprint|http://lawecommons.luc.edu/cgi/viewcontent.cgi?article=1193&context=luclj', '|Title|Tracking the storm: The far-reaching power of the forces propelling the Schiavo cases|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">More than fifteen years elapsed between the date Theresa Marie Schiavo suffered a cardiac arrest, leaving her in a persistent vegetative state because of brain damage, and the date she took her last breath. 1 The conflict between her parents and her husband regarding her medical care lasted for more than twelve of those fifteen years. 2 The litigation over her care lasted for more than six. 3 It is difficult to keep track of the multiple court cases filed, let alone to pinpoint the highlights of their many twists and turns. 4 It may be possible, however, to predict how the aftereffects of the Schiavo maelstrom will impact the law of end-of-life decisionmaking in Florida. It appears as if those lingering effects will be bitter and may leave important rights of selfdetermination and privacy in a battered state, much as hurricanes ripping through Florida leave her shores. In this Essay, I will dissect the history of the Schiavo cases to …</div></div></div>|Author|Kathy L Cerminara|Year|1970|Publisher||Citedby|29|Eprint|https://www.researchgate.net/profile/Kathy_Cerminara/publication/6697535_Tracking_the_storm_the_far-reaching_power_of_the_forces_propelling_the_Schiavo_cases/links/5553468d08ae980ca6074b57.pdf', '|Title|Contextualizing ADR in Managed Care: A Proposal Aimed at Easing Tensions and Resolving Conflict|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">Health care is dominated by conflicts and tensions. Conflicts arise between health care providers and health care payors, patients and health care providers, and patients and health care payors. 1 Tensions mount as health insurance premiums rise despite efforts to contain costs. Suspicions linger that cost concerns negatively affect the quality of care patients receive. Health care effectively is managed care, and allocation tensions, expressed and unexpressed, general and particularized, characterize the system.</div><div class=""gsh_csp"">From the patient\'s point of view, the tensions permeating the health care industry must be disconcerting. Health care is, after all, supposed to cure, not create, problems. Patients seek help from the medical profession and the health care system in times of weakness, times when comfort and care are needed. Most patients seeking comfort and care,</div></div></div>|Author|Kathy L Cerminara|Year|1970|Publisher||Citedby|29|Eprint|https://lawecommons.luc.edu/cgi/viewcontent.cgi?article=1322&context=luclj', '|Title|Therapeutic death: A look at Oregon\'s law.|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">Oregon voters approved the first American statute authorizing physician-assisted suicide, the Oregon Death With Dignity Act, in 1994. The authors of this article identify some positive and negative psychological effects of laws such as Oregon\'s on patients. Generally, they conclude, on the basis of psychological theory and the available data, that laws such as Oregon\'s benefit patients psychologically. Undoubtedly, however, there exist important possible antitherapeutic effects on patients, and the authors hope that discussion of both therapeutic and antitherapeutic consequences will stimulate future research by social scientists in this area.(PsycINFO Database Record (c) 2017 APA, all rights reserved)</div></div></div>|Author|Kathy L Cerminara and Alina Perez|Year|2000|Publisher|American Psychological Association|Citedby|26|Eprint|', '|Title|Protecting participants in and beneficiaries of ERISA-governed managed health care plans|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">The fast-changing health care system has left American patients behind. The complexity of health care decision-making overwhelms them; the cost-conscious nature of managed care puts them on guard; and the provision of most health care coverage through employee benefit plans leaves many of them without an effective remedy for injury during care. The convergence on the American patient of these sociologie, economic, and political developments has left many wondering how the system can be improved."" Consumer protection,"" meaning patient protection, 1 is a popular catch-phrase in the media and politics, and proposed consumer protection measures include laws that would mandate an increase in the amount of information available to patients and laws that would expose managed care organizations to increased potential liability. This Article will examine the impact of the above-named sociologie …</div></div></div>|Author|Kathy L Cerminara|Year|1970|Publisher||Citedby|23|Eprint|', '|Title|A Paper About a Piece of Paper: Regulatory Action As the Most Effective Way to Promote Use of Physician Orders for Life-Sustaining Treatment|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp""> <i>The only constant is change. Heraclitus</i> </div> <div class=""gsh_csp"">It strikes me that the questions brought on by medical technology have come upon us in a relatively short time, and that society is at the beginning of even grasping their dimension and complexity, let alone coming up with satisfactory answers.</div> <div class=""gsh_csp""> <i>William H. Colby</i> </div></div></div>|Author|Kathy L Cerminara∗ and Seth M Bogin|Year|2008|Publisher|Taylor & Francis Group|Citedby|17|Eprint|https://www.tandfonline.com/doi/full/10.1080/01947640802494838', '|Title|Eliciting patient preferences in today\'s health care system.|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">The American Medical Association Council on Ethical and Judicial Affairs recommends that physicians discuss advance directives with their patients and the patients\' proxies. The council could have gone further by recognizing the difficulties physicians will encounter in trying to implement its proposal in a managed health care system. There is an undeniable need for caregiver participation in end-of-life planning, but the health care system must recognize and support implementation of the council\'s recommendations to make that possible. More explicit recognition of this fact on the part of the council would have helped physicians attempt to comply with its recommendations.(PsycINFO Database Record (c) 2016 APA, all rights reserved)</div></div></div>|Author|Kathy L Cerminara|Year|1998|Publisher|American Psychological Association|Citedby|16|Eprint|', '|Title|Key events in the case of Theresa Marie Schiavo|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">This copyrighted resource is a joint project of the University of Miami Ethics Programs and the Shepard Broad Law Center at Nova Southeastern University. This content may be reproduced for non-commercial, education purposes only, with (i) permission and (ii) appropriate attribution to the source.(For more information, read our copyright policy.) Please send comments, suggestions and corrections to Ken Goodman, UM Ethics Programs, at ethics@ miami. edu. News media and others seeking comment from Florida Bioethics Network leaders should call 305-243-5723.</div></div></div>|Author|Kathy Cerminara and Kenneth Goodman|Year|1970|Publisher||Citedby|15|Eprint|http://science.jburroughs.org/mbahe/BioEthics/Articles/SchiavoTimeline.pdf', '|Title|Collateral damage: The aftermath of the political culture wars in Schiavo|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">Theresa Marie Schiavo died a celebrity at the age of forty-two in Pinellas Park, Florida, in early 2005.1 She never sought the public spotlight; she never even knew she was a celebrity. She became a celebrity, and one of the best-known figures in bioethics, because of politics.</div><div class=""gsh_csp"">In testament to the power of the politics surrounding Ms. Schiavo\'s death, numerous authors have written an incredible amount about her case. Many articles have focused on the constitutional implications of the controversy. 2 Others have discussed the intersection of Ms. Schiavo\'s case and the interests of people with disabilities, 3 or have analyzed the Schiavo case within the framework of</div></div></div>|Author|Kathy L Cerminara|Year|1970|Publisher||Citedby|14|Eprint|http://nsuworks.nova.edu/cgi/viewcontent.cgi?article=1161&context=law_facarticles/', '|Title|Dealing with Dying: How Insurers Can Help Patients Seeking Last-Chance Therapies (Even When the Answer Is No)|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">3 SETTING LIMITS, supra note 1, at 67. Use of the term"" unproven"" is not limited to describing last-chance therapies. Complementary and alternative medicines also are sometimes called"" unproven,"" a phenomenon which can seem unnecessarily prejudicial since much everyday clinical medicine is also"" unproven"" in the sense of being unsupported by controlled, double-blind clinical research. See E. Haavi Morreim, A Dose of Our Own Medicine: Alternative Medicine, Conventional Medicine, and the Standards of Science, 31 JL MED. &amp; ETHics 222, 223-26 (2003).</div></div></div>|Author|Kathy L Cerminara|Year|1970|Publisher||Citedby|13|Eprint|https://scholarlycommons.law.case.edu/cgi/viewcontent.cgi?article=1353&context=healthmatrix', '|Title|Hospice and Heath Care Reform: Improving Care at the End of Life|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">This Article is dedicated to the memorv of Professor Bruce Winick, friend and mentor, because the demonstration program it analyzes is an example of therapeutic jurisprudence. Should Congress approve Medicare payment for concurrent care as a result of that demonstration program, it would have asked and answered the question of"" what legal principles are most beneficial to patient welfare and consistent with the actual experience of being sick,"" then enacted the corresponding reform in the area of hospice care. Mark-A. hall, Law, Medi/ne, and Trst, 55 STAN.]. Ruv. 463, 466 (2002). See also Kathy 1,. Cerminara,</div></div></div>|Author|Kathy L Cerminara|Year|1970|Publisher||Citedby|12|Eprint|http://nsuworks.nova.edu/cgi/viewcontent.cgi?article=1014&context=law_facarticles/', '|Title|The law and its interaction with medical ethics in end-of-life decision making|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div><div class=""gsh_csp"">The previous two articles in this series explored the historical and theoretical development of medical decision making from initial reliance on medical beneficence to a more recent emphasis on patient autonomy. The law of withholding and withdrawal of treatment has much in common with medical ethics. It is based on concerns about patient autonomy expressed by courts, legislatures, and the executive branch of the government. Legally, the patient\'s right of self-determination has been based on a variety of sources ranging from state and federal constitutions to the common law of torts and from cases to statutes and regulations. Understanding the various sources of the law, the distinctions among those sources, and the interaction of the branches of government in this context assists in understanding the law itself. In our federalist system of government, significant legal variations can exist among the states, but …</div></div></div></div>|Author|Kathy L Cerminara|Year|2011|Publisher|Elsevier|Citedby|11|Eprint|', '|Title|Pandora\'s dismay: Eliminating coverage-related barriers to hospice care|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">Dying Medicare recipients currently must accept the inevitability of impending death before Medicare will fund hospice services. Such a state of affairs is far from optimal, for hospice services provide both physical and psychological benefits long before patients accept their fates. This Article explores the history and philosophy of hospice and highlights the antitherapeutic gap between the time when patients can benefit most from accessing hospice services and the time at which the Medicare statute and regulations first support such access. It concludes by recommending that Congress blur or eliminate the false dichotomy between palliative and curative care that contributes to the gap and calls for empirical research to help determine exactly how Congress should do so.</div></div></div>|Author|Kathy L Cerminara|Year|1970|Publisher||Citedby|10|Eprint|https://nsuworks.nova.edu/cgi/viewcontent.cgi?article=1016&context=law_facarticles/', '|Title|Caja De Pandora: Improving Access to Hospice Care among Hispanic and African-American Patients, La|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">It has been said that end-of-life medical treatment options represent the ultimate Pandora\'s Box. 2 This metaphor depicts the process most patients face upon learning they are facing terminal illnesses. Many patients, when first learning about their diagnoses and prognoses, will seek more information about the illness and try every available treatment hoping for a cure ("" expecting riches""), 3 until finally realizing and accepting the inevitability of their fates (finally</div><div class=""gsh_csp"">1 Caja is the Spanish word for"" box."" MERRIAM-WEBSTER\'S SPANISH-ENGLISH DICTIONARY, available at http://www. merriam-webster. com/spanish/caa. See text accompanying footnotes 2-4 (likening consideration of end-of-life medical treatment options to the process Pandora experienced when considering opening the box the gods had sent to Earth with her).</div></div></div>|Author|Alina M Perez and Kathy L Cerminara|Year|1970|Publisher||Citedby|8|Eprint|https://www.law.uh.edu/hjhlp/volumes/Vol_10_2/Perez.pdf', '|Title|Theresa Marie Schiavo\'s long road to peace|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""> <div class=""gsh_csp"">The death of Theresa Marie Schiavo came about only after almost 7 years of argument among her family members. Her husband, Michael Schiavo, was convinced that she would have refused the medically supplied nutrition and hydration maintaining her life. Her parents, Robert and Mary Schindler, and her siblings were equally convinced that her condition was not so hopeless that she would have chosen to refuse treatment. The result was a bitter battle reaching through state and federal court systems, legislatures, and chief executives\' offices. This article provides introductory factual background for the articles that discuss the Schiavo case in this special issue of Death Studies.</div></div></div>|Author|Kathy L Cerminara|Year|2006|Publisher|Taylor & Francis Group|Citedby|6|Eprint|https://www.tandfonline.com/doi/pdf/10.1080/07481180500455574', '|Title|Give Me Liberty to Choose (a Better) Death: Respecting Autonomy More Fully in Advance Directive Statutes|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">In the name ofstate interests, advance directive statutes almost universally include language requiring that a patient be in a particular physical state as a condition precedent to operation of a directive. This article urges state legislatures to recognize and rectify the conflict they have created by imposing such triggering conditions. First, it examines states\' efforts to facilitate autonomous end-of-life decision making through advance directive statutes. Then it proposes amending those statutes to align the law with medical ethics by eliminating specified physical triggering conditions burdening the exercise of patients\' rights to refuse life-sustaining treatment. Such amendment will improve end-of-life care and serve as an expression of a more caring medical and legal culture.</div></div></div>|Author|Kathy L Cerminara and Joseph R Kadis|Year|1970|Publisher||Citedby|5|Eprint|https://www.slu.edu/law/academics/journals/health-law-policy/pdfs/issues/v10-i1/cerminara_and_kadis_article.pdf', '|Title|Law, Perception, and Cultural Cognition Near the End of Life|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">In the movie Inside Out, one of the characters knocks over a bag containing blocks of different sizes, jumbling them all together."" Oh no,"" she says."" It\'s facts and opinions, looking so similar."" One of her companions replies,"" Don\'t worry about it; it happens all the time.\'4</div></div></div>|Author|Kathy L Cerminara|Year|1970|Publisher||Citedby|5|Eprint|', '|Title|Schiavo Revisited-The Struggle for Autonomy at the End of Life in Italy|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">Politically strident debates surrounding end-of-life decisionmaking have surfaced once again, this time across the Atlantic in Italy. Eluana Englaro died in 2009 after a prolonged court fight, causing the international press to compare her case to that of Theresa Marie Schiavo, who passed away in 2005 in Florida after nearly</div></div></div>|Author|Kathy L Cerminara and Frederico Gustavo Pizzetti and Watcharin H Photangtham|Year|1970|Publisher||Citedby|5|Eprint|https://scholarship.law.marquette.edu/cgi/viewcontent.cgi?article=1360&context=elders', '|Title|Introduction: Remembering Stephanie Feldman Aleong|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">I wish I were not writing this Introduction. As wonderful an issue of the Nova Law Review as this is-and it is indeed a tour de force-it commemorates the loss of my dear friend and colleague, Stephanie Feldman Aleong. I would gladly trade this publication opportunity to have Stephanie back. The tragedy of her unexpected death in 2008 at the age of thirty-six shook Nova Southeastern University\'s Shepard Broad Law Center to its core, and we still sorely miss her. I\'m sure we always will. Nevertheless, we play the cards we are dealt in life, as no one knew better than Stephanie. A juvenile diabetic who coped with her disease and overcame past tragic events with sheer force of will and a huge personality, this tiny woman liked to credit her infinitely positive attitude to her father\'s advice that"" You have to fake it until you can make it."" Everyone who knew Stephanie knew how she incorporated this admonition into her life …</div></div></div>|Author|Kathy L Cerminara|Year|1970|Publisher||Citedby|3|Eprint|https://nsuworks.nova.edu/cgi/viewcontent.cgi?article=1158&context=law_facarticles/', '|Title|Taking a Closer Look at the Managed Care Class Actions: Impact Litigation as an Assist to the Market|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">The term"" quality health care"" implies many definitions. On an individual level, one may think of medical malpractice law when discussing the pursuit of quality health care. Systemically, concerns about quality health care almost certainly will lead to a discussion of the high rate of medical errors recently reported. 1 If one thinks in terms of structure, the term"" quality health care"" may trigger consideration of financing issues such as the impact of cost-conscious management of medical care on the type of care received by patients. This article will focus on the latter consideration—financing issues—not because the former lack importance, but because the latter necessitates a hard look at the interaction between individuals and the health care market. One of the first subjects that comes to mind in terms of health care financing structures is the so-called"" backlash against managed care."" 2 Along with media accounts of …</div></div></div>|Author|Kathy L Cerminara|Year|1970|Publisher||Citedby|3|Eprint|https://lawecommons.luc.edu/cgi/viewcontent.cgi?article=1255&context=annals', '|Title|Regulating how we die: The ethical, medical, and legal issues surrounding physician‐assisted suicide|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">Regulating how we die: The ethical, medical, and legal issues surrounding physician‐assisted suicide. Linda L. Emanuel, ed. (Harvard University Press, Cambridge, Massachusetts, 1998), 304 pages, $39.95.</div></div></div>|Author|Kathy L Cerminara|Year|1999|Publisher|Taylor & Francis Group|Citedby|3|Eprint|https://www.tandfonline.com/doi/pdf/10.1080/01947649909511090', '|Title|Three Female Faces: The Law of End-of-Life Decision Making in America|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">In the mid-1970s, the father of Karen Ann Quinlan, a young woman who lay in a persistent vegetative state (PVS), wished to authorize disconnection of his daughter’s ventilator. He had to go to court because various physicians, the hospital in which his daughter was a patient, the state attorney general, and the county prosecutor, among others, objected to the withdrawal of ventilator support. The New Jersey Supreme Court’s seminal ruling in 1976, authorizing the ventilator’s disconnection, transformed Ms. Quinlan into the first of three famous female figures in the law of end-of-life decision making. The most commonly recognized public images of end-of-life litigation in America since then have been those of young women lying in bed as loving family members clustered around them (Miles, 1990). Quinlan and cases involving young women in Missouri and Florida have captured the public attention and provided …</div></div></div>|Author|Kathy L Cerminara|Year|2008|Publisher|Routledge|Citedby|2|Eprint|', '|Title|Rip Currents: Rough Water for End of Life Decision Making|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">Every day brings news of another celebrity\'s passing. In 2017 alone, comedian Jay Thomas died of cancer and country singer Glen Campbell died after a long struggle with Alzheimer\'s Disease. South African rugby player Joost Heystek van der Westhuizen and American playwright, actor, and director Sam Shepard both passed away after long struggles with amyotrophic lateral sclerosis.\'We don\'t know if these celebrities exerted control over their medical treatment choices during their final days, but we do know that some people suffering through such drawn-out illnesses wish to do so. If they have not and cannot do that themselves, loved ones will do so for them, ideally making the decisions they would have made.</div><div class=""gsh_csp"">In the early days of end-of-life decision making law, technology such as the ventilator began forcing the law to catch up with evolving medical-ethical principles, to permit death to occur naturally in some …</div></div></div>|Author|Kathy L Cerminara|Year|1970|Publisher||Citedby|1|Eprint|https://digitalcommons.law.umaryland.edu/cgi/viewcontent.cgi?article=1358&context=jhclp', '|Title|Introduction: Wounds of War: Meeting the Needs of Active-Duty Military Personnel and Veterans with Post-Traumatic Stress Disorder|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">Kathy Cerminara, Introduction: Wounds of War: Meeting the Needs of Active-Duty Military Personnel and Veterans with Post-Traumatic Stress Disorder, 37 Nova Law Review 439 (2013).</div></div></div>|Author|Kathy L Cerminara|Year|1970|Publisher||Citedby|1|Eprint|http://nsuworks.nova.edu/cgi/viewcontent.cgi?article=1155&context=law_facarticles/', '|Title|La Caja de Pandora: Improving Access to Hospice Care among Hispanic and African-American Patients|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">Many patients clinging to hope in the form of potentially curative treatment could benefit from hospice services, but, for the most part, it is not until the patient accepts the finality of his or her condition that the physical, psychological and social benefits of hospice care become accessible to the patient and his or her family. Under current Medicare regulations and other health care payers’ policies, patients must abandon the hope of curative treatment before opting for hospice services. As a result, many terminally ill patients access the services late, sometimes a few hours before death. Scholars have proposed that such a barrier to access, present in Medicare, Medicaid and other health insurers’ coverage rules, may be responsible for lower utilization of hospice services and later access to hospice services than has been proven to be beneficial to patients and their families. This problem becomes even more significant, and other barriers beside coverage rules become apparent, when considering the health care needs of racial and ethnic minorities in the United States. Not only do patients in racial and ethnic minority groups access hospice late, like the general population, but they also access it in far fewer numbers. The statistics are especially stark among African-American and Hispanic patients.</div></div></div>|Author|Kathy L Cerminara and Alina M Perez|Year|1970|Publisher||Citedby|1|Eprint|https://nsuworks.nova.edu/cgi/viewcontent.cgi?article=1015&context=law_facarticles/', '|Title|2005-2006 National Health Law Moot Court Competition: Problem|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">Plaintiff Sheila Kruzo seeks an injunction requiring Defendant Carewell Hospital System, Inc.(Carewell) to terminate the supply of artificial nutrition and hydration to Plaintiff\'s husband, John Kruzo. This case requires consideration of profound issues of life, death, autonomy and medical ethics. Specifically, this court has been asked to decide whether Mrs. Kruzo, as her husband\'s legally appointed guardian and duly appointed proxy decision-maker, may require withdrawal of his medically supplied artificial nutrition and hydration despite the existence of a Floritan statute establishing a presumption against such withdrawal.</div><div class=""gsh_csp"">Both Carewell and Mrs. Kruzo have moved for summary judgment. Carewell asserts that Floritan\'s Incompetent Patient Protection Act, 7 Floritan Stat. §§ 711.20-711.22, prevents it from complying with Mrs. Kruzo\'s instructions to terminate Mr. Kruzo\'s medically supplied artificial nutrition and hydration …</div></div></div>|Author|Kathy Cerminara|Year|1970|Publisher||Citedby|1|Eprint|', '|Title|An analysis of H. 701|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">These comments respond to the introduction of House Bill 701 (H701). H701, like its precursor S692 (prefiled in November, 2003 and withdrawn from committee on April 16, 2004), is a misguided example of extreme overreaction to political pressure stemming from one case involving participants who have been tremendously successful in using the media and elected officials to serve their own ends. The title of the proposed act demonstrates its roots, for it was designed to incite emotions and create an image of a healthy person wasting away, in a condition which many people associate with great pain, although research indicates that in fact unmanageable suffering is not involved and “lack of hydration... may even have an analgesic effect.” 1 The bill should be defeated because it infringes on the constitutional rights of Floridians and because it especially would work to the detriment of persons of lower education and socio-economic class as they attempt to exercise their constitutional right to refuse medical treatment.</div></div></div>|Author|Kathy L Cerminara and Shepard Broad Law Center|Year|2005|Publisher||Citedby|1|Eprint|http://ethicscurriculum.med.miami.edu/schiavo/pdf_files/030805-HB701-LegalAnalysis.pdf']"
nigel jaquiss,,,,,,,,,,,
rachel monahan,,,,,,,,,,,
