Name,Affiliation,Citedby,cites_per_year,email,hindex,hindex5y,i10index,i10index5y,id,interests,Publications
lucas m thomas,"Civil Eng., M.Sc., Universidad Industrial de Santander - Architect, Universidad Santo Tomás",-1,{},,0,0,0,0,3AGpm2oAAAAJ,"['structural optimisation', 'evolutionary computation', 'morphogenesis', 'architectural design']","['|Title|Multi-Objective Heuristic Computation Applied to Architectural and Structural Design: A Review|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">Heuristic computation techniques have been used in a wide range of fields, demonstrating their capacity to solve highly complex optimization problems. This article presents the most common techniques and their extension into the multi-objective optimization field, and emphasizes in the application of them in structural and architectural design by presenting examples within topics like: topological, shape and dimensional optimization of truss structures, roof optimization for sunlight conditions and area minimization, grid structures, façade design, life cycle cost and environmental impact, energy efficiency and construction costs, morphogenetic structural optimization for shell structures, acoustical optimization, evolutionary architectural design, architectural layout design optimization, RC frames optimization, and land use zoning, within others. Finally, the conclusion leads to the recognition of heuristic computation not …</div></div></div>|Author|Leonardo Moreno-De-Luca and Oscar Javier Begambre Carrillo|Year|2013|Publisher|SAGE Publications|Citedby||Eprint|', '|Title|EFECTOS ASOCIADOS CON LA INTERACCIÓN SUELO-ESTRUCTURA EN EL DISEÑO DE EDIFICACIONES DE CONCRETO REFORZADO EN BUCARAMANGA|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">Una de las áreas de mayor interés e importancia en la Ingeniería Civil es la del diseño y análisis de estructuras civiles. En este campo el ingeniero debe realizar suposiciones acerca de distintas características y condiciones que caracterizan el desarrollo del modelamiento o diseño que realiza con el fin de simplificar y hacer posible el cálculo de parámetros que definen el resultado final.</div><div class=""gsh_csp"">La mayoría de las veces éstas suposiciones son adecuadas y permiten la obtención de resultados que se aproximan a los valores reales, existiendo como caso particular, los diseños y análisis en los que el suelo está presente como elemento primordial. En este caso el ingeniero supone, generalmente, un empotramiento perfecto entre la estructura y el sistema de fundación y por consiguiente, no profundiza en el comportamiento real de la interacción sueloestructura. Esta suposición no representa rigurosamente las …</div></div></div>|Author|LEONARDO MORENO DE LUCA|Year||Publisher||Citedby||Eprint|http://tangara.uis.edu.co/biblioweb/tesis/2010/136423.pdf']"
megan petersen,University of Colorado Boulder,75,"{2016: 14, 2017: 15, 2018: 28, 2019: 4, 2013: 2, 2014: 5, 2015: 7}",@colorado.edu,6,6,4,4,9s5kj5EAAAAJ,[],"['|Title|Niche partitioning between close relatives suggests trade‐offs between adaptation to local environments and competition|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""> <div class=""gsh_csp"">Niche partitioning among close relatives may reflect trade‐offs underlying species divergence and coexistence (e.g., between stress tolerance and competitive ability). We quantified the effects of habitat and congeneric species interactions on fitness for two closely related herbaceous plant species, <i>Mimulus guttatus</i> and <i>Mimulus laciniatus</i>, in three common habitat types within their sympatric range. Drought stress strongly reduced survival of <i>M. guttatus</i> in fast‐drying seeps occupied by <i>M. laciniatus</i>, suggesting that divergent habitat adaptation maintains this niche boundary. However, neither seedling performance nor congeneric competition explained the absence of <i>M. laciniatus</i> from shady streams where <i>M. guttatus</i> thrives. <i>M. laciniatus</i> may be excluded from this habitat by competition with other species in the community or mature <i>M. guttatus</i>. Species performance and competitive ability were similar in sympatric …</div></div></div>|Author|Megan L Peterson and Kevin J Rice and Jason P Sexton|Year|2013|Publisher||Citedby|26|Eprint|https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.462', '|Title|An ultraviolet floral polymorphism associated with life history drives pollinator discrimination in Mimulus guttatus|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">• <i>Premise of the study:</i> Ultraviolet (UV) floral patterns are common in angiosperms and mediate pollinator attraction, efficiency, and constancy. UV patterns may vary within species, yet are cryptic to human observers. Thus, few studies have explicitly described the distribution or ecological significance of intraspecific variation in UV floral patterning. Here, we describe the geographic distribution and pattern of inheritance of a UV polymorphism in the model plant species <i>Mimulus guttatus</i> (Phrymaceae). We then test whether naturally occurring UV phenotypes influence pollinator interactions within <i>M. guttatus</i>.</div> <div class=""gsh_csp"">• <i>Methods:</i> We document UV patterns in 18 annual and 19 perennial populations and test whether UV pattern is associated with life history. To examine the pattern of inheritance, we conducted crosses within and between UV phenotypes. Finally, we tested whether bee pollinators discriminate among naturally …</div></div></div>|Author|Megan L Peterson and Timothy J Miller and Kathleen M Kay|Year|2015|Publisher|Botanical Society of America|Citedby|13|Eprint|https://onlinelibrary.wiley.com/doi/pdf/10.3732/ajb.1400415', '|Title|Mating system plasticity promotes persistence and adaptation of colonizing populations of hermaphroditic angiosperms|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">Persistence and adaptation in novel environments are limited by small population size, strong selection, and maladaptive gene flow. Mating system plasticity is common in angiosperms and may provide both demographic and genetic benefits that promote niche evolution, including reproductive assurance and isolation from maladaptive gene flow. Yet increased self-fertilization may also cause inbreeding depression, accumulation of deleterious mutations, and reduced adaptive potential. Here we use individual-based simulations to examine the consequences of mating system plasticity for persistence and adaptation in a novel environment that imposes selection on a quantitative trait. We examine the joint evolution of local adaptation, inbreeding depression, and genetic load. We find that a plastic shift to a mixed mating system generally promotes niche evolution by decreasing the risk of extinction, providing …</div></div></div>|Author|Megan L Peterson and Kathleen M Kay|Year|2014|Publisher|University of Chicago Press|Citedby|11|Eprint|https://www.journals.uchicago.edu/doi/pdfplus/10.1086/679107', '|Title|The scale of local adaptation in Mimulus guttatus: comparing life history races, ecotypes, and populations|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""> <div class=""gsh_csp""> <ul class=""gsh_l""> <li>Fitness trade‐offs between environments are central to the evolution of biodiversity. Although transplant studies often document fitness trade‐offs consistent with local adaptation (LA), many have also found an advantage of foreign genotypes (foreign advantage (FA)). Understanding the mechanisms driving the magnitude and distribution of fitness variation requires comparative approaches that test the ecological scales at which these different patterns emerge.</li> <li>We used a common garden transplant experiment to compare the relative fitnesses of native vs foreign genotypes at three nested ecological scales within <i>Mimulus guttatus</i>: annual vs perennial life history races, perennial ecotypes across an elevational range, and populations within perennial elevational ecotypes. We integrated fitness across the life‐cycle and decomposed LA vs FA into contributions from different fitness components.</li> <li>We found LA …</li></ul></div></div></div>|Author|Megan L Peterson and Kathleen M Kay and Amy L Angert|Year|2016|Publisher||Citedby|10|Eprint|https://nph.onlinelibrary.wiley.com/doi/pdf/10.1111/nph.13971', '|Title|Both life‐history plasticity and local adaptation will shape range‐wide responses to climate warming in the tundra plant Silene acaulis|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""> <div class=""gsh_csp"">Many predictions of how climate change will impact biodiversity have focused on range shifts using species‐wide climate tolerances, an approach that ignores the demographic mechanisms that enable species to attain broad geographic distributions. But these mechanisms matter, as responses to climate change could fundamentally differ depending on the contributions of life‐history plasticity vs. local adaptation to species‐wide climate tolerances. In particular, if local adaptation to climate is strong, populations across a species’ range—not only those at the trailing range edge—could decline sharply with global climate change. Indeed, faster rates of climate change in many high latitude regions could combine with local adaptation to generate sharper declines well away from trailing edges. Combining 15 years of demographic data from field populations across North America with growth chamber warming …</div></div></div>|Author|Megan L Peterson and Daniel F Doak and William F Morris|Year|2018|Publisher||Citedby|6|Eprint|https://www.researchgate.net/profile/Megan_Peterson7/publication/321176868_Both_life_history_plasticity_and_local_adaptation_will_shape_range-wide_responses_to_climate_warming_in_the_tundra_plant_Silene_acaulis/links/5a4bca88a6fdcc3e99cf5ef4/Both-life-history-plasticity-and-local-adaptation-will-shape-range-wide-responses-to-climate-warming-in-the-tundra-plant-Silene-acaulis.pdf', '|Title|Portfolio effects, climate change, and the persistence of small populations: analyses on the rare plant Saussurea weberi|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""> <div class=""gsh_csp"">The mechanisms that stabilize small populations in the face of environmental variation are crucial to their long‐term persistence. Building from diversity–stability concepts in community ecology, within‐population diversity is gaining attention as an important component of population stability. Genetic and microhabitat variation within populations can generate diverse responses to common environmental fluctuations, dampening temporal variability across the population as a whole through portfolio effects. Yet, the potential for portfolio effects to operate at small scales within populations or to change with systematic environmental shifts, such as climate change, remain largely unexplored. We tracked the abundance of a rare alpine perennial plant, <i>Saussurea weberi</i>, in 49 1‐m<sup>2</sup> plots within a single population over 20 yr. We estimated among‐plot correlations in log annual growth rate to test for population‐level …</div></div></div>|Author|Ronald E Abbott and Daniel F Doak and Megan L Peterson|Year|2017|Publisher||Citedby|6|Eprint|http://doaklab.org/pdf/Abbott_2017_Ecology.pdf', '|Title|Phenotypic constraints and community structure: Linking trade‐offs within and among species|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">Trade‐offs are central to many topics in biology, from the evolution of life histories to ecological mechanisms of species coexistence. Trade‐offs observed among species may reflect pervasive constraints on phenotypes that are achievable given biophysical and resource limitations. If so, then among‐species trade‐offs should be consistent with trade‐offs within species. Alternatively, trait variation among co‐occurring species may reflect historical contingencies during community assembly rather than within‐species constraints. Here, we test whether a key trade‐off between relative growth rate (RGR) and water‐use efficiency (WUE) among Sonoran Desert winter annual plants is apparent within four species representing different strategies in the system. We grew progeny of maternal families from multiple populations in a greenhouse common garden. One species, <i>Pectocarya recurvata</i>, displayed the expected RGR …</div></div></div>|Author|Amy L Angert and Sarah Kimball and Megan Peterson and Travis E Huxman and David L Venable|Year|2014|Publisher||Citedby|3|Eprint|https://onlinelibrary.wiley.com/doi/pdf/10.1111/evo.12514', '|Title|Asynchrony in individual and subpopulation fecundity stabilizes reproductive output of an alpine plant population|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""> <div class=""gsh_csp"">Population‐wide outcomes such as abundance, reproductive output, or mean survival can be stabilized by non‐synchronous variation in the performance of individuals or subpopulations. Such “portfolio effects” have been increasingly documented at the scale of subpopulations and are thought to play an important role in generating stability of population phenomena in the face of environmental variation. However, few studies quantify the strength and origin of portfolio effects at the finer scale of individuals. We used 16 years of fruit production and climate data for an alpine plant to dissect the scale of portfolio effects in reproduction, as well as the contribution of individual traits including size and flowering time in driving reproductive output. Asynchrony in reproductive success substantially reduces variation in population‐level reproductive output, with ~ 1/4 of this stabilizing effect arising from individual differences …</div></div></div>|Author|Ellen Waddle and Lucas R Piedrahita and Elijah S Hall and Grace Kendziorski and William F Morris and Megan L Peterson and Daniel F Doak|Year|2019|Publisher||Citedby||Eprint|', '|Title|Incorporating local adaptation into forecasts of species’ distribution and abundance under climate change|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""> <div class=""gsh_csp"">Populations of many species are genetically adapted to local historical climate conditions. Yet most forecasts of species’ distributions under climate change have ignored local adaptation (LA), which may paint a false picture of how species will respond across their geographical ranges. We review recent studies that have incorporated intraspecific variation, a potential proxy for LA, into distribution forecasts, assess their strengths and weaknesses, and make recommendations for how to improve forecasts in the face of LA. The three methods used so far (species distribution models, response functions, and mechanistic models) reflect a trade‐off between data availability and the ability to rigorously demonstrate LA to climate. We identify key considerations for incorporating LA into distribution forecasts that are currently missing from many published studies, including testing the spatial scale and pattern of LA, the …</div></div></div>|Author|Megan L Peterson and Daniel F Doak and William F Morris|Year|2018|Publisher||Citedby||Eprint|https://www.researchgate.net/profile/Megan_Peterson7/publication/330026606_Incorporating_local_adaptation_into_forecasts_of_species%27_distribution_and_abundance_under_climate_change/links/5c51cdc8458515a4c74b05cd/Incorporating-local-adaptation-into-forecasts-of-species-distribution-and-abundance-under-climate-change.pdf', '|Title|Climate and synchrony with conspecifics determine the effects of flowering phenology on reproductive success in Silene acaulis|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">Changes in flowering phenology resulting from climate change could impact individual plant fitness and population viability. Flowering phenology can mediate plant reproductive success in several ways, including pollinator interactions, flowering synchrony with conspecifics, and timing of suitable abiotic conditions. We explored factors that control phenology and reproductive success for an alpine cushion plant, <i>Silene acaulis</i>, across two years and four sites, totaling 1,123 plants, in Colorado, USA. We investigated relationships between flowering time, flowering synchrony, and reproductive success with local abiotic conditions and pollinator behavior. Mean flowering phenology was strongly correlated with the timing of snowmelt across sites and years. Relative to mean flowering times, earlier flowering plants generally produced more flowers and experienced greater soil moisture during flowering but reduced …</div></div></div>|Author|Elijah S Hall and Lucas R Piedrahita and Grace Kendziorski and Ellen Waddle and Daniel F Doak and Megan L Peterson|Year|2018|Publisher|Taylor & Francis|Citedby||Eprint|https://www.tandfonline.com/doi/full/10.1080/15230430.2018.1548866', '|Title|Ecological divergence in flowering plants: niche expansion, selection, and reproductive isolation|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small"">The origin and persistence of species is fundamental to the evolution of biological diversity. Species generally arise in new environments through a combination of ecological divergence and spatial isolation. Under this framework, speciation occurs through three main processes: 1) niche expansion, 2) divergent selection, and 3) the accumulation of reproductive isolating mechanisms. In this dissertation, I tested specific hypotheses about the factors governing each of these stages, using a combination of stochastic simulations and field and greenhouse experiments with life history ecotypes of common monkeyflower Mimulus guttatus DC (Phrymaceae). First, I tested the ecological and genetic determinants of colonization success in flowering plants. In particular, I used stochastic simulations to test the effect of mating system plasticity on the persistence and adaptation of colonizing populations in new environments. I found that a shift to a mixed mating strategy facilitated niche expansion by reducing extinction and promoting adaptation under a broad range of colonization scenarios. In my second and third chapters, I examined the causes and consequences of life history divergence among populations of M. guttatus in central California. In chapter two, I used comparative demography to test for local adaptation and selection on life history traits in a common garden experiment in a montane perennial environment. I found that a perennial life history strategy had the highest performance and that selection favored perennial life history traits, although the native montane perennial ecotype was not locally adapted relative to other inland perennial …</div></div>|Author|Megan L Peterson|Year|1970|Publisher||Citedby||Eprint|https://cloudfront.escholarship.org/dist/prd/content/qt2mt2289x/qt2mt2289x.pdf', '|Title|Use of Low Plasticity for Soil Liners and Covers|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">Loess, which consists predominantly of low plasticity to non-plastic silt (PI≤ 10) with varying amounts of sand and clay-sized (-5 microns) material, covers much of north-central Oregon and eastern Washington. Several landfills operate in this area. Because of the lack of clayey soils and clayey bedrock in the region, loess was proposed for use as the low permeability soil barrier layer. Laboratory testing and large-scale field tests of test fills using SDRI\'s have shown that the remolded permeability of the loess is related to grain-size, soil gradation, and the percent saturation of the placed soil. We had an approximately 1: 1 correlation between the permeability results of laboratory remolded samples, undisturbed Shelby tube samples of test fills, and field SDRI tests. Data from six different sites have consistently shown that in order to achieve a permeability of less than 1x10-6 cm/s, the loess must contain greater than 70 percent minus US No. 200 sieve and have at least 15 percent minus 5 microns material. In addition, the loess must be placed at a minimum of 2 percent over standard Proctor optimum moisture content and be compacted to a dry density which corresponds to a minimum of 85 percent saturation at the measured moisture content.</div></div></div>|Author|Clifford C Knitter and KG Haskell and ML Peterson|Year|1970|Publisher|University of Missouri--Rolla|Citedby||Eprint|http://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=2234&context=icchge']"
edward engler,,,,,,,,,,,
mike mortensen,Research,2403,"{1986: 8, 1987: 30, 1988: 47, 1989: 71, 1990: 67, 1991: 82, 1992: 80, 1993: 76, 1994: 77, 1995: 80, 1996: 66, 1997: 70, 1998: 86, 1999: 83, 2000: 76, 2001: 74, 2002: 94, 2003: 97, 2004: 110, 2005: 92, 2006: 109, 2007: 88, 2008: 84, 2009: 80, 2010: 66, 2011: 75, 2012: 71, 2013: 68, 2014: 56, 2015: 56, 2016: 55, 2017: 32, 2018: 45, 2019: 8}",@olympus.net,8,3,8,3,yxpJOtsAAAAJ,"['geometric modeling', '3d modeling', 'CAD/CAM', 'computer graphics']","['|Title|Geometric modeling|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small"">A comprehensive, up-to-date presentation of all the indispensable core concepts of geometric modeling. Now completely updated to reflect the most recent developments in the field, Geometric Modeling clearly presents and compares all the important mathematical approaches to modeling curves, surfaces, and solids, and shows how to shape and assemble these elements into more complex models. Its thorough coverage also includes the concomitant geometric processing necessary, e.g., the computation of intersections, offsets, and fillets. Written in a style that is virtually free of the jargon of special applications, this unique book focuses on the essence of geometric modeling and treats it as a discipline in its own right. This integrated approach allows the reader to focus on the principles and logic of geometric modeling without requiring background knowledge of CAD/CAM, computer graphics, or computer …</div></div>|Author|Michael E Mortenson|Year|1970|Publisher|CUMINCAD|Citedby|2113|Eprint|', '|Title|Mathematics for computer graphics applications|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small"">This completely revised Second Edition of"" Computer Graphics"" includes valuable information on major organizational changes within the last few years. This edition brings to the fore the basic mathematical tools of computer graphics, including vectors, matrices, and transformations. Additionally, it provides a strong, comprehensive base in exploring math, computer science, physics, engineering, and in special subjects such as algebraic and computational geometry, geometric modeling, and CAD/CAM. A highly diversified book that can be utilized as a primary textbook, supplemental teaching resource, individual tutorial, or key reference text. Includes new chapters on symmetry, limit and continuity, constructive solid geometry, and the Bezier curve. Provides many new figures and exercises. Contains an annotated suggested reading list with exercises and answers in each chapter. Appeals to both academics and professionals. Offers a new solutions manual for instructors.</div></div>|Author|Michael E Mortenson|Year|1970|Publisher|Industrial Press Inc.|Citedby|119|Eprint|', '|Title|Computer graphics: an introduction to the mathematics and geometry|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr"">Help Design Your New ACM Digital Library. We\'re upgrading the ACM DL, and would like your\ninput. Please sign up to review new features, functionality and page designs. Leave an email\naddress: or Follow @ACMDL. or [Not interested]. Google, Inc. (search) … \n</div>|Author|Michael E Mortenson|Year|1988|Publisher|Industrial Press, Inc.|Citedby|40|Eprint|', '|Title|Computer graphics handbook: geometry and mathematics|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr"">Help Design Your New ACM Digital Library. We\'re upgrading the ACM DL, and would like your\ninput. Please sign up to review new features, functionality and page designs. Leave an email\naddress: or Follow @ACMDL. or [Not interested]. Google, Inc. (search) … \n</div>|Author|Michael E Mortenson|Year|1990|Publisher|Industrial Press, Inc.|Citedby|35|Eprint|', '|Title|Geometric Transformations fo 3D Modeling|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">Written from a mathematical standpoint accessible to students, teachers, and professionals studying or practicing in engineering, mathematics, or physics, the new second edition is a comprehensive introduction to the theory and application of transformations. Presenting the more abstract foundation material in the first three chapters, Geometric Transformations in 3D Modeling reduces the clutter of theoretical derivation and development in the remainder of the text and introduces the operational and more application-oriented tools and concepts as the need arises. It assumes the reader has already taken analytic geometry and first-year calculus and has a working knowledge of basic matrix and vector algebra. This self-contained resource is sure to appeal to those working in 3D modeling, geometric modeling, computer graphics, animation, robotics, and kinematics. Distinctive Features-Explores and develops the …</div></div></div>|Author|Michael Mortenson|Year|2007|Publisher|Industrial Press, Inc.|Citedby|27|Eprint|', '|Title|Geometric transformations|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">Michael E Mortenson* Download PDF| ePub| DOC| audiobook| ebooks</div><div class=""gsh_csp"">6 of 6 people found the following review helpful. the best book on this subject for"" the rest of us""... By exphys2000This book does a* great* job describing geometric transformations, their meaning and use. All the gaps left by Computer Graphics classes are filled in, and (most amazing of all) it\'s an interesting read as well. Mathematicians may find this too practical, but it\'s perfect for CS and engineering people. When you finish this book, you\'ll now exactly* why* it\'s been OK to use those 4x4 homogeneous matrices in graphics and robotics!!</div><div class=""gsh_csp"">Gives the reader a full understanding of transformation theory, the role of invariants, the uses of various notation systems, and the relationships between transformations. Describes how geometric objects, or things represented as such, when subjected to mathematical operations called geometric transformations …</div></div></div>|Author|Michael E Mortenson|Year|1995|Publisher|Industrial Press|Citedby|27|Eprint|', '|Title|AE4375/6380 Fundamentals of Computer Aided Engineering and Design|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">The course examines the area that is commonly referred to as CAD, CAED, or CAD/CAM. The general objectives of the course are described below. Also included is a more detailed course outline that provides a topic by topic list of the material to be covered. The objectives are:</div><div class=""gsh_csp"">• to acquaint the student with some of the terminology in this very new field and relate it to the basic engineering process of design,</div></div></div>|Author|ME Mortenson|Year|1970|Publisher||Citedby||Eprint|']"
rick green,,,,,,,,,,,
roger amsden,,,,,,,,,,,
thomas p. caldwell,,,,,,,,,,,
blythe ray,,,,,,,,,,,
david corriveau,,,,,,,,,,,
eleanor kohlsaat,,,,,,,,,,,
