Name,Affiliation,Citedby,cites_per_year,email,hindex,hindex5y,i10index,i10index5y,id,interests,Publications
patrick bernadeau,,,,,,,,,,,
sydney mook,,,,,,,,,,,
andrew haffner,,,,,,,,,,,
april baumgarten,,,,,,,,,,,
archie ingersoll,,,,,,,,,,,
brad dokken,,,,,,,,,,,
janelle vonasek,,,,,,,,,,,
john hageman,Northeastern Illinois University,279,"{2016: 24, 2017: 25, 2018: 21, 2019: 3, 1999: 2, 2000: 1, 2001: 5, 2002: 4, 2003: 6, 2004: 9, 2005: 10, 2006: 6, 2007: 5, 2008: 7, 2009: 22, 2010: 14, 2011: 10, 2012: 27, 2013: 22, 2014: 18, 2015: 32}",@neiu.edu,8,7,8,4,WITGsK4AAAAJ,[],"['|Title|Upland agriculture in the Maya Lowlands: ancient Maya soil conservation in northwestern Belize|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp""> In the 1970s scholars began to accept Maya terracing as the manifestation of ancient intensive agriculture and large populations. We examine many ancient terraces and berms excavated in the Three Rivers region of Belize, synthesize the geography and suggest the intent of terracing across the Maya Lowlands, and analyze the history of terracing and soil erosion. Terraces occur in several slope positions and diverted and slowed runoff, to build up planting surfaces that could maximize soil moisture. The first accelerated soil erosion occurred during the Preclassic period (1500 <span class=""gs_fscp"">b.c.</span>‐<span class=""gs_fscp"">a.d.</span> 250). Maya terracing started in the Early Classic period (<span class=""gs_fscp"">a.d.</span> 250–600) and spread across the Lowlands with the great population expansion of the Late/Terminal Classic period (<span class=""gs_fscp"">a.d.</span> 600–900). Thereafter, the Maya would largely forsake terracing. Though abandoned for a millennium, many terraces still function in today\'s tropical …</div></div></div>|Author|Timothy Beach and SHERYL LUZZADDER‐BEACH and Nicholas Dunning and Jon Hageman and Jon Lohse|Year|2002|Publisher|Blackwell Publishing Ltd|Citedby|105|Eprint|http://www.academia.edu/download/45757970/Upland_Agriculture_in_the_Maya_Lowlands_20160518-2757-trbsbx.pdf', '|Title|Construction of digital elevation models for archaeological applications|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">The use of interpolation in archaeology is becoming common. As archaeologists incor porate geographic infonnation systems (GIS) and computer mapping programs into their research, questions of interpolation become fundamental considerations in the represen tation and manipulation of topographic data. To date, however, few archaeologists have dealt with thesc questions. Uncritical use of interpolation algorithms can rcsult in unrealistic rcpresentations of the landscape in a mapping program or can result in an inaccurate digital elevation model (OEM) used in a GIS. This, in tum, can lead to an ineffcctive predictive model of site location. By carefully selecting an intcrpolation algor ithm that is well suited to the data, statistical pitfalls and wasted effort can be avoided.</div></div></div>|Author|Jon B Hageman and David A Bennett|Year|1970|Publisher|London|Citedby|37|Eprint|https://neiudc.neiu.edu/cgi/viewcontent.cgi?article=1005&context=anth-pub', '|Title|HETERARCHY. CORPORATE GROUPS, AND LATE CLASSIC RESOURCE|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">Efforts to reconstruct strategies for the control and management of natural resources in prehistoric societies have been largely influenced by one of two approaches. One argues for the presence of strongly centralized decision-making structures associated with control over aspects of the economy, including arable land and water (eg, Brumfiel and Earle 1987a; Earle 1997; Mann 1986). A second approach, advocated by some cultural ecologists (eg, Netting 1968, 1993) and economic anthropologists (eg, Chayanov 1986; Sahlins 1972), has offered models highlighting the decision-making capacity of individual households, or"" farmsteads."" While both approaches have much to recommend them, and though they may seem antithetical, they in fact view the control and management of natural resources through opposite ends of the same spyglass. Both views argue for a strictly vertical organization of the decision-making process. The former privileges a central political authority atop a hierarchically arranged power structure. The latter, however, favors individual farming households whose surplus production is distributed throughout the rest of a community, often through elite-sponsored or controlled mechanisms such as markets and tribute. We suggest that neither top-down nor bottom-up approaches such as these are adequate for grasping the complexity of ancient political and agricultural landscapes. Ideally, an examination of ancient subsistence and political organization should enable the identification of both the technical skill and knowledge required to farm highly diverse local conditions, and the explication of relationships between a site core …</div></div></div>|Author|Jon B Hageman and Jon C Lohse|Year|2003|Publisher|University of Arizona Press|Citedby|25|Eprint|https://www.researchgate.net/profile/Jon_Hageman/publication/259459179_Heterarchy_Corporate_Groups_and_Late_Classic_Resource_Management_in_Northwestern_Belize/links/54ac4f4b0cf2479c2ee7b5cf/Heterarchy-Corporate-Groups-and-Late-Classic-Resource-Management-in-Northwestern-Belize.pdf', '|Title|An integrated assessment of archaeobotanical recovery methods in the Neotropical rainforest of northern Belize: flotation and dry screening|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div><div><div class=""gsh_csp"">This report presents results of a study examining the ancient use of plants at four Late Classic (CE 600-900) Maya rural farmsteads in northwestern Belize. Our research specifically targeted residential middens for macrobotanical recovery. Samples yielded the remains of more than a dozen plant families, representing some genera that do not currently grow in the area. These plants were used in the Late Classic, countering the idea that ancient botanical remains do not survive in Neotropical archaeological contexts. We also evaluated two macrobotanical sample processing methods vis-à-vis one another: flotation and dry screening. Our results indicate that flotation recovered 58% more seeds than dry screening, while dry screening yielded almost twice as much charcoal and other wood as flotation. The divergent quantities in the types of material recovered suggest a comprehensive macrobotanical recovery …</div></div></div></div></div>|Author|Jon B Hageman and David J Goldstein|Year|2009|Publisher|Academic Press|Citedby|23|Eprint|https://neiudc.neiu.edu/cgi/viewcontent.cgi?article=1001&context=anth-pub', '|Title|The lineage model and archaeological data in Late Classic northwestern Belize|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div><div class=""gsh_csp"">Central topics of anthropological study from the 1940s through the      1970s, kinship and lineage became largely discredited during the 1980s.      Recent scholarship, however, has indicated that kinship and lineage,      when considered as the products of social activity, can make important      contributions to studies of living and past populations. This paper      explores lineage as a model of social organization distinguished by      specific activities practiced by members of Late Classic Maya social      groups. This model is derived from cross-cultural literature on      lineages, but practices associated with lineage organization are      historically and culturally specific. A suite of archaeological      correlates, based on practices endemic to the Late Classic Maya, is      evaluated against a test case from northwestern Belize. The      implications of a landscape populated by lineages during the Classic      period argue that …</div></div></div></div>|Author|Jon B Hageman|Year|2004|Publisher|Cambridge University Press|Citedby|19|Eprint|https://neiudc.neiu.edu/cgi/viewcontent.cgi?article=1000&context=anth-pub', '|Title|Introduction, in|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">Over the past year, the charitable sector in Canada has experienced a number of important regulatory and common law developments at the federal and provincial level that will have a significant impact on how charities operate in Canada and abroad. The purpose of this Charity Law Bulletin is to provide a brief overview of some of the more important developments in 2011, including changes to the Income Tax Act [1](“ITA”), new publications from the Charities Directorate of the Canada Revenue Agency (“CRA”), and court decisions. Recent developments in federal and provincial legislation, such as the proclamation of the Canada Not-for-profit Corporations Act (“CNCA”) and preparation for the proclamation Ontario Not-for-profit Corporations Act (“ONCA”), will also be discussed.</div></div></div>|Author|Angela Carter|Year|1970|Publisher||Citedby|19|Eprint|http://www.carters.ca/pub/bulletin/charity/2012/chylb275.htm', '|Title|Power plants: Paleobotanical evidence of rural feasting in Late Classic Belize|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""> <div class=""gsh_csp"">Our recent investigations into food use and preparation at Guijarral, a small-scale Late Classic Maya settlement in Northwestern Belize, confirm Douglas’s observations on the codes embedded in foodways (Keller Brown and Mussell 1997b). Rapid regional population growth after 700 B.C. led to increasing land scarcity, which fostered new forms of social organization, including lineages. Archaeological and paleoenvironmental studies convincingly support that centuries of erosion contributed to Late Classic ecological and social milieus, and forced the pressing of ever more marginal lands into agricultural production. In this instance the marginal lands are hill slopes with thin soil coverage and lowland seasonal swamps, or <i>bajos</i>. Agricultural landscape modifications, including terraces and check dams, were critical to the sustainability of human habitation in these areas. Such features generated agricultural …</div></div></div>|Author|David J Goldstein and Jon B Hageman|Year|1970|Publisher|Springer, New York, NY|Citedby|15|Eprint|http://www.academia.edu/download/33049061/Goldstein_and_Hageman_2010_Foodways_Chapter.pdf', '|Title|Lost and Found:(Re)-Placing Say Ka in the La Milpa Suburban Settlement Pattern|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">Poco tiempo después de su descubrimiento en 1990, el sitio menor de Say Ka cerca de La Milpa, Belice, fue olvidado otra vez. Say Ka fue rediscubierto accidentalmente hasta casi una década después. Tres temporadas de trabajo en la plaza mayor han facilitado información sobre la edad y la estructura del sitio, y nos permita a investigar su lugar dentro del patrón de asentamiento suburbano de La Milpa. Zur kurze Zeit nach seiner Entdeckung im Jahr 1990 wurde das Kleinzentrum Say Ka in der Umgebung von La Milpa, Belize wieder vergessen. Es wurde erst eine Dekade später zufällig wiederentdeckt. Drei Feldkampagnen auf dem Hauptplatz der Fundstätte haben wichtige neue Informationen über das Alter und den Aufbau der Stätte erbracht, so dass Forscher nun die Bedeutung von Say Ka innerhalb des suburbanen Siedlungs- und Ein ußbereiches von La Milpa besser verstehen.</div></div></div>|Author|Brett A Houk and Jon B Hageman|Year|2007|Publisher|Verlag Anton Saurwein|Citedby|8|Eprint|https://neiudc.neiu.edu/cgi/viewcontent.cgi?article=1004&context=anth-pub', '|Title|Late Classic Maya social organization: A perspective from northwestern Belize.|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">Degree: Ph. D.</div><div class=""gsh_csp"">DegreeYear: 2004</div><div class=""gsh_csp"">Institute: Southern Illinois University at Carbondale</div><div class=""gsh_csp"">Social organization affects virtually all aspects of human life. The social organization of a people contributes directly to individual identity: The people with whom one is raised, with whom one interacts on a daily basis, with whom one celebrates religious and other festivals, and the relations that exist between them, are encompassed by the study of social organization. In spite of over 100 years of study, however, the social organization of the Late Classic (AD 600-900) Lowland Maya is still a subject of debate.</div></div></div>|Author|Jon B Hageman|Year|1970|Publisher||Citedby|7|Eprint|', '|Title|House or lineage? How intracemetery kinship analysis contributes to the debate in the Maya area|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""> <div class=""gsh_csp"">Houses and lineages are both named, corporate units of social organization defined in part on the connection between people and place. They are distinguished from one another by the relative emphasis on biological descent in societies organized on the basis of corporate group membership. Over the past 15 years, researchers have debated whether ancient Maya social organization was characterized by house or lineage organization. Drawing on ethnographic, epigraphic, and archaeological data, researchers have concluded that the ancient Maya had some characteristics of house societies, but that biological descent was an important principle. One relevant line of evidence conspicuously absent from this debate is biological distance analysis as a means of identifying patterns of biological relatedness within sites. In this chapter we review intracemetery analyses from Mesoamerica, focusing on the …</div></div></div>|Author|William N Duncan and Jon B Hageman|Year|1970|Publisher|Springer, Cham|Citedby|3|Eprint|', '|Title|Late Classic Maya provisioning and distinction in Northwestern Belize|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">Our investigation into food preparation and use at two small Late Classic Maya settlements in northwestern Belize indicates that the Ancient Maya developed an active set of codes or foodways for the use of certain foods (Douglas 1971, 61; Keller Brown and Mussell 1997). Feasting, when contrasted with daily food use in less ceremonial settings, exemplifies the kind of contrast in food use that Douglas (1971) argues is emblematic of social codes used to actively establish and maintain social hierarchy. Our work focuses on this coding as expressed by two residential units within a Late Classic (CE 600-900) lineage. At our case study site of Guijarral, a rural site in northwestern Belize, we recov~ red archaeobotanical datasets associated with periodic feasting near ancestor shrines as distinct from daily domestic activities near housemounds. The consumption of specific foods in specific places created and reinforced …</div></div></div>|Author|David J Goldstein and Jon B Hageman|Year|1970|Publisher||Citedby|1|Eprint|https://neiudc.neiu.edu/cgi/viewcontent.cgi?article=1007&context=anth-pub', '|Title|Floors, Phosphates, and Points: Analyzing Food Production–Results of the 2009 Field Season|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">Fieldwork for the 2009 season began on May 22 and was completed on June 12. A group of 11 undergraduate students from Northeastern Illinois University collected data through mapping and excavation at two residential groups at the site of Guijarral (RB-18), a rural site approximately 8 km northeast of La Milpa (Figure 1).</div><div class=""gsh_csp"">Excavations proceed along two fronts. The first consisted of off-mound excavations in areas of both very high and very low phosphate concentrations associated with the Guijarral site center. Based on ethnoarchaeological (Deal 1983; Hayden and Cannon 1983; Wilk 1983; Wilk 1988), and archaeological (Haviland 1975, 1982, 1988; Leventhal and Baxter 1988, Tourtellot 1988) studies, phosphates are indicative of overall organic content of the soil. Unusually high levels are often attributed to human activity, specifically the deposition of organic remains in the form of refuse. Unusually low levels are also typically correlated with human activity, often farming. Depleted phosphate levels result from repeated cultivation or use of an area without fertilizing or other form of phosphorus replenishment. Soil samples from these units were collected and processed for macrobotanical analysis per our previous investigations in 2005-2007.</div></div></div>|Author|Jon B Hageman and Robin C Goldstein and David J Goldstein|Year|1970|Publisher||Citedby|1|Eprint|https://repositories.lib.utexas.edu/bitstream/handle/2152/62335/Occ%20Papers%20%2311.pdf?sequence=2#page=11', '|Title|Intergroup Media|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""> <div class=""gsh_csp"">Intergroup media is the transactional relationship between media engagement, media content, and group identity. These three processes are presented and discussed, and the relationships between the three should be understood as bidirectional rather than unidirectional. A model representing the relationships is offered. Because the nature of the relationships will vary based on a specific group identity, the relationships are broadly addressed. New avenues for research are also offered.</div></div></div>|Author|Jessica R Abrams|Year|2017|Publisher|John Wiley & Sons, Inc.|Citedby||Eprint|', '|Title|Power Plants: Paleobotanical Evidence of Rural Feasting in Late Classic Belize|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">This Book Chapter is brought to you for free and open access by the Anthropology at NEIU Digital Commons. It has been accepted for inclusion in Anthropology Faculty Publications by an authorized administrator of NEIU Digital Commons. For more information, please contact howen3@ neiu. edu, a-vincent@ neiu. edu, l-wallis@ neiu. edu.</div></div></div>|Author|Jon B Hageman and David J Goldstein|Year|1970|Publisher||Citedby||Eprint|https://neiudc.neiu.edu/cgi/viewcontent.cgi?article=1006&context=anth-pub', '|Title|Construction of Digital Elevation Models for Archaeological Applications|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">The creation of digital elevation models (DEM) in archaeological applications of geographic information systems (GIS) has, with rare exceptions (e. g., Kvamme 1 990; Warren 1 990; Wiemer 1 995; Madry and Rakos 1 996), been largely ignored in print. As Kvamme (1 990: 1 23) has noted, archaeologists are usually concemed with the quality of archaeological data, not the quality of data obtained by computer means. Yet given the same data points, substantively different surfaces can be generated from altemative computer algorithms designed to accomplish the same task. These ditfer ences can have significant and unexpected impacts on archaeological investigations.</div><div class=""gsh_csp"">Close this message to accept cookies and our Terms and Conditions. We use cookies to distinguish you from other users and to provide you with a better experience on our websites. Find out how to manage your cookie settings here.</div></div></div>|Author|David A Bennett and Jon B Hageman|Year|1999|Publisher|CRC Press|Citedby||Eprint|', '|Title|Investigations at the Vollrath Blacksmith Shop (41BX786), San Antonio, Bexar County, Texas|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">In May 1988, archival research was initiated to evaluate the archaeological potential of New City Block 102, Lots 10 through 15, in downtown San Antonio, Texas, proposed site of the new Bexar County Justice Center parking garage. The research indicated that the southern portion of Lots 10 and 11 would required further investigation at the 1874 site of Vollrath\'s blacksmith shop. Field excavations were conducted in August 1988. This report discusses the archival research and the results of the field excavations.</div></div></div>|Author|I Waynne Cox and Maureen J Brown and Jon Hageman and Clinton McKenzie|Year|1970|Publisher||Citedby||Eprint|https://scholarworks.sfasu.edu/cgi/viewcontent.cgi?article=1196&context=ita', '|Title|NOTHING FAUNA ABOUT IT: OVERVIEW OF THE 2007 SEASON|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">Fieldwork for the 2007 season began on May 19 and was completed on June 8. A group of 11 undergraduate students from Northeastern Illinois University, along with three graduate students from other institutions, collected data through excavation at two residential groups at the site of Guijarral (RE-18), a rural site located about 8 km northeast of La Milpa in northwestern Belize.</div><div class=""gsh_csp"">Excavations targeted the recovery of paleobotanical and zooarchaeological remains associated with two residential units previously investigated in 1998, 2000, 2005 and 2006. Very little is currently known of the plants and animals consumed by rural Maya populations during the Late Classic (eg, Emery 2003, 2004; Lentz 1999; White 1999). David Goldstein, project ethnobotanist, supervised botanical analysis. Erol Kavoutzis, project zooarchaeologist, oversaw the collection and analysis of faunal samples. Robin Goldstein oversaw the mound-based excavations at Guijarral. All ceramic evaluations were provided by project ceramist, Lauren Sullivan.</div></div></div>|Author|Jon B Hageman and Robin Goldstein and Erol J Kavoutzis and Robin Goldstein|Year||Publisher||Citedby||Eprint|http://www.academia.edu/download/31056894/Hageman_et_al._2008.pdf', '|Title|SEEDS, SHELLS, AND SITES-RESEARCH IN NORTHWEST BELIZE: REPORT OF INVESTIGATIONS FROM THE 2006 FIELD SEASON|Body|<div class=""gsc_vcd_value"" id=""gsc_vcd_descr""><div class=""gsh_small""><div class=""gsh_csp"">Excavations focused on the recovery of paleobotanical and zooarchaeological remains associated with four residential units previously excavated in 1998, 2000, and 2005. A growing body of literature has examined ancient Maya diet (eg, Emery 2003, 2004; White 1999), but much of this work focuses on faunal remains associated with major site centers. Very little, however, is known of the plants consumed by the Late Classic Maya (eg, Lentz 1999), and the same applies to the prehistoric consumption of fauna by rural populations (eg, Emery 2004). The project ethnobotanist, David Goldstein, supervised analysis of botanical samples. The project zooarchaeologist, Erin Thornton, oversaw the analysis of faunal samples.</div><div class=""gsh_csp"">Mapping efforts during the 2006 season focused on extending the length of mapped area along the Dos Hombres-La Milpa intersite transect. Mapped area currently stands at about 8.9 km extending along an azimuth of about 340 degrees from Dos Hombres, and an additional 3.5 km toward La Milpa remains to be mapped. Student crews were split into excavation and mapping teams for much of the season until the rains flooded many areas to be surveyed.</div></div></div>|Author|Jon B Hageman and David J Goldstein and Erin Thornton|Year||Publisher||Citedby||Eprint|http://www.academia.edu/download/30986677/Hageman_et_al._2007.pdf']"
pamela knudson,,,,,,,,,,,
sam easter,,,,,,,,,,,
